u,v
9.972423315048217773e-01,1.083560943603515625e+00
9.961422085762023926e-01,1.084876656532287598e+00
9.950609803199768066e-01,1.086181998252868652e+00
9.939981698989868164e-01,1.087476849555969238e+00
9.929533004760742188e-01,1.088761210441589355e+00
9.919257760047912598e-01,1.090035200119018555e+00
9.909151792526245117e-01,1.091298699378967285e+00
9.899210333824157715e-01,1.092551827430725098e+00
9.889429807662963867e-01,1.093794345855712891e+00
9.879804253578186035e-01,1.095026493072509766e+00
9.870331287384033203e-01,1.096248149871826172e+00
9.861006140708923340e-01,1.097459316253662109e+00
9.851825237274169922e-01,1.098659992218017578e+00
9.842785596847534180e-01,1.099850296974182129e+00
9.833882451057434082e-01,1.101030230522155762e+00
9.825113415718078613e-01,1.102199673652648926e+00
9.816474318504333496e-01,1.103358864784240723e+00
9.807963371276855469e-01,1.104507684707641602e+00
9.799576401710510254e-01,1.105646133422851562e+00
9.791311621665954590e-01,1.106774330139160156e+00
9.783164858818054199e-01,1.107892274856567383e+00
9.775134325027465820e-01,1.109000086784362793e+00
9.767217040061950684e-01,1.110097646713256836e+00
9.759410619735717773e-01,1.111185193061828613e+00
9.751713275909423828e-01,1.112262487411499023e+00
9.744121432304382324e-01,1.113329887390136719e+00
9.736633300781250000e-01,1.114387154579162598e+00
9.729247093200683594e-01,1.115434527397155762e+00
9.721960425376892090e-01,1.116472125053405762e+00
9.714770913124084473e-01,1.117499709129333496e+00
9.707676768302917480e-01,1.118517518043518066e+00
9.700676798820495605e-01,1.119525671005249023e+00
9.693768024444580078e-01,1.120524048805236816e+00
9.686949253082275391e-01,1.121512889862060547e+00
9.680218696594238281e-01,1.122492074966430664e+00
9.673574566841125488e-01,1.123461723327636719e+00
9.667015075683593750e-01,1.124421954154968262e+00
9.660539031028747559e-01,1.125372767448425293e+00
9.654144644737243652e-01,1.126314163208007812e+00
9.647830724716186523e-01,1.127246379852294922e+00
9.641594886779785156e-01,1.128169417381286621e+00
9.635437130928039551e-01,1.129083156585693359e+00
9.629355072975158691e-01,1.129987835884094238e+00
9.623347520828247070e-01,1.130883574485778809e+00
9.617413878440856934e-01,1.131770253181457520e+00
9.611551761627197266e-01,1.132648110389709473e+00
9.605761170387268066e-01,1.133517026901245117e+00
9.600039720535278320e-01,1.134377241134643555e+00
9.594387412071228027e-01,1.135228753089904785e+00
9.588802456855773926e-01,1.136071562767028809e+00
9.583283662796020508e-01,1.136905789375305176e+00
9.577830433845520020e-01,1.137731552124023438e+00
9.572442173957824707e-01,1.138548851013183594e+00
9.567116498947143555e-01,1.139357805252075195e+00
9.561853408813476562e-01,1.140158414840698242e+00
9.556651711463928223e-01,1.140950798988342285e+00
9.551510214805603027e-01,1.141735076904296875e+00
9.546428322792053223e-01,1.142511129379272461e+00
9.541405439376831055e-01,1.143279194831848145e+00
9.536440372467041016e-01,1.144039273262023926e+00
9.531532526016235352e-01,1.144791483879089355e+00
9.526680707931518555e-01,1.145535826683044434e+00
9.521884322166442871e-01,1.146272420883178711e+00
9.517142176628112793e-01,1.147001266479492188e+00
9.512454271316528320e-01,1.147722482681274414e+00
9.507819414138793945e-01,1.148436069488525391e+00
9.503236413002014160e-01,1.149142265319824219e+00
9.498705863952636719e-01,1.149840950965881348e+00
9.494225382804870605e-01,1.150532245635986328e+00
9.489796161651611328e-01,1.151216268539428711e+00
9.485415816307067871e-01,1.151893019676208496e+00
9.481084942817687988e-01,1.152562618255615234e+00
9.476802349090576172e-01,1.153225183486938477e+00
9.472566843032836914e-01,1.153880596160888672e+00
9.468379020690917969e-01,1.154529094696044922e+00
9.464237689971923828e-01,1.155170559883117676e+00
9.460141658782958984e-01,1.155805230140686035e+00
9.456091523170471191e-01,1.156433224678039551e+00
9.452086091041564941e-01,1.157054424285888672e+00
9.448124170303344727e-01,1.157668948173522949e+00
9.444206357002258301e-01,1.158276796340942383e+00
9.440332055091857910e-01,1.158878207206726074e+00
9.436499476432800293e-01,1.159473180770874023e+00
9.432709813117980957e-01,1.160061717033386230e+00
9.428961277008056641e-01,1.160643815994262695e+00
9.425253868103027344e-01,1.161219716072082520e+00
9.421586394309997559e-01,1.161789417266845703e+00
9.417960047721862793e-01,1.162352919578552246e+00
9.414372444152832031e-01,1.162910223007202148e+00
9.410824179649353027e-01,1.163461565971374512e+00
9.407314658164978027e-01,1.164006948471069336e+00
9.403843283653259277e-01,1.164546370506286621e+00
9.400410056114196777e-01,1.165079951286315918e+00
9.397013783454895020e-01,1.165607690811157227e+00
9.393654465675354004e-01,1.166129708290100098e+00
9.390332102775573730e-01,1.166646003723144531e+00
9.387044906616210938e-01,1.167156696319580078e+00
9.383794069290161133e-01,1.167661786079406738e+00
9.380578398704528809e-01,1.168161392211914062e+00
9.377397298812866211e-01,1.168655514717102051e+00
9.374250769615173340e-01,1.169144153594970703e+00
9.371138215065002441e-01,1.169627547264099121e+00
9.368059635162353516e-01,1.170105576515197754e+00
9.365014433860778809e-01,1.170578360557556152e+00
9.362002015113830566e-01,1.171045899391174316e+00
9.359021782875061035e-01,1.171508431434631348e+00
9.356074333190917969e-01,1.171965718269348145e+00
9.353158473968505859e-01,1.172418117523193359e+00
9.350274205207824707e-01,1.172865390777587891e+00
9.347420930862426758e-01,1.173307895660400391e+00
9.344598650932312012e-01,1.173745393753051758e+00
9.341807365417480469e-01,1.174178004264831543e+00
9.339045286178588867e-01,1.174605965614318848e+00
9.336313605308532715e-01,1.175029158592224121e+00
9.333611130714416504e-01,1.175447702407836914e+00
9.330938458442687988e-01,1.175861597061157227e+00
9.328293800354003906e-01,1.176270842552185059e+00
9.325678348541259766e-01,1.176675558090209961e+00
9.323090910911560059e-01,1.177075862884521484e+00
9.320531487464904785e-01,1.177471637725830078e+00
9.317999482154846191e-01,1.177863121032714844e+00
9.315494894981384277e-01,1.178250193595886230e+00
9.313017129898071289e-01,1.178632974624633789e+00
9.310566782951354980e-01,1.179011464118957520e+00
9.308142066001892090e-01,1.179385781288146973e+00
9.305744171142578125e-01,1.179755926132202148e+00
9.303371906280517578e-01,1.180122017860412598e+00
9.301025867462158203e-01,1.180483937263488770e+00
9.298704266548156738e-01,1.180841922760009766e+00
9.296408295631408691e-01,1.181195855140686035e+00
9.294137358665466309e-01,1.181545853614807129e+00
9.291890263557434082e-01,1.181891918182373047e+00
9.289668202400207520e-01,1.182234168052673340e+00
9.287469983100891113e-01,1.182572484016418457e+00
9.285295009613037109e-01,1.182907104492187500e+00
9.283144474029541016e-01,1.183238029479980469e+00
9.281016588211059570e-01,1.183565139770507812e+00
9.278911948204040527e-01,1.183888673782348633e+00
9.276829957962036133e-01,1.184208631515502930e+00
9.274770617485046387e-01,1.184524893760681152e+00
9.272733330726623535e-01,1.184837698936462402e+00
9.270718693733215332e-01,1.185146927833557129e+00
9.268725514411926270e-01,1.185452699661254883e+00
9.266753792762756348e-01,1.185755133628845215e+00
9.264804124832153320e-01,1.186054110527038574e+00
9.262875318527221680e-01,1.186349749565124512e+00
9.260966777801513672e-01,1.186642050743103027e+00
9.259079694747924805e-01,1.186931014060974121e+00
9.257212877273559570e-01,1.187216877937316895e+00
9.255366325378417969e-01,1.187499403953552246e+00
9.253540039062500000e-01,1.187778830528259277e+00
9.251733422279357910e-01,1.188055038452148438e+00
9.249946475028991699e-01,1.188328266143798828e+00
9.248179197311401367e-01,1.188598275184631348e+00
9.246430397033691406e-01,1.188865423202514648e+00
9.244701266288757324e-01,1.189129471778869629e+00
9.242991209030151367e-01,1.189390540122985840e+00
9.241299033164978027e-01,1.189648628234863281e+00
9.239625930786132812e-01,1.189903855323791504e+00
9.237970709800720215e-01,1.190156221389770508e+00
9.236333370208740234e-01,1.190405726432800293e+00
9.234714508056640625e-01,1.190652370452880859e+00
9.233112931251525879e-01,1.190896272659301758e+00
9.231528639793395996e-01,1.191137433052062988e+00
9.229961633682250977e-01,1.191375970840454102e+00
9.228411912918090820e-01,1.191611647605895996e+00
9.226879477500915527e-01,1.191844820976257324e+00
9.225363135337829590e-01,1.192075252532958984e+00
9.223864078521728516e-01,1.192303180694580078e+00
9.222380518913269043e-01,1.192528486251831055e+00
9.220913648605346680e-01,1.192751169204711914e+00
9.219462871551513672e-01,1.192971467971801758e+00
9.218028187751770020e-01,1.193189144134521484e+00
9.216609001159667969e-01,1.193404436111450195e+00
9.215205311775207520e-01,1.193617343902587891e+00
9.213817119598388672e-01,1.193827748298645020e+00
9.212443828582763672e-01,1.194035887718200684e+00
9.211086034774780273e-01,1.194241523742675781e+00
9.209743142127990723e-01,1.194444894790649414e+00
9.208414554595947266e-01,1.194646000862121582e+00
9.207100868225097656e-01,1.194844841957092285e+00
9.205801486968994141e-01,1.195041418075561523e+00
9.204516410827636719e-01,1.195235729217529297e+00
9.203245043754577637e-01,1.195427894592285156e+00
9.201987981796264648e-01,1.195617914199829102e+00
9.200745224952697754e-01,1.195805668830871582e+00
9.199515581130981445e-01,1.195991396903991699e+00
9.198299646377563477e-01,1.196174979209899902e+00
9.197096824645996094e-01,1.196356534957885742e+00
9.195907711982727051e-01,1.196535944938659668e+00
9.194731116294860840e-01,1.196713447570800781e+00
9.193567633628845215e-01,1.196888804435729980e+00
9.192417263984680176e-01,1.197062253952026367e+00
9.191279411315917969e-01,1.197233676910400391e+00
9.190154075622558594e-01,1.197403192520141602e+00
9.189041256904602051e-01,1.197570800781250000e+00
9.187940955162048340e-01,1.197736501693725586e+00
9.186851978302001953e-01,1.197900295257568359e+00
9.185775518417358398e-01,1.198062300682067871e+00
9.184710979461669922e-01,1.198222398757934570e+00
9.183658361434936523e-01,1.198380708694458008e+00
9.182617068290710449e-01,1.198537230491638184e+00
9.181587696075439453e-01,1.198691964149475098e+00
9.180569648742675781e-01,1.198844909667968750e+00
9.179562330245971680e-01,1.198996186256408691e+00
9.178566336631774902e-01,1.199145674705505371e+00
9.177581667900085449e-01,1.199293494224548340e+00
9.176607728004455566e-01,1.199439644813537598e+00
9.175644516944885254e-01,1.199584126472473145e+00
9.174692034721374512e-01,1.199726939201354980e+00
9.173750281333923340e-01,1.199868202209472656e+00
9.172818660736083984e-01,1.200007796287536621e+00
9.171897172927856445e-01,1.200145840644836426e+00
9.170986413955688477e-01,1.200282335281372070e+00
9.170085787773132324e-01,1.200417280197143555e+00
9.169194698333740234e-01,1.200550675392150879e+00
9.168313741683959961e-01,1.200682520866394043e+00
9.167442321777343750e-01,1.200812935829162598e+00
9.166581034660339355e-01,1.200941801071166992e+00
9.165729284286499023e-01,1.201069235801696777e+00
9.164886474609375000e-01,1.201195240020751953e+00
9.164053201675415039e-01,1.201319694519042969e+00
9.163229465484619141e-01,1.201442837715148926e+00
9.162414669990539551e-01,1.201564669609069824e+00
9.161609411239624023e-01,1.201684951782226562e+00
9.160812497138977051e-01,1.201803922653198242e+00
9.160024523735046387e-01,1.201921582221984863e+00
9.159245491027832031e-01,1.202037811279296875e+00
9.158475399017333984e-01,1.202152848243713379e+00
9.157713651657104492e-01,1.202266454696655273e+00
9.156960248947143555e-01,1.202378869056701660e+00
9.156215190887451172e-01,1.202489972114562988e+00
9.155478477478027344e-01,1.202599763870239258e+00
9.154750108718872070e-01,1.202708363533020020e+00
9.154030084609985352e-01,1.202815651893615723e+00
9.153317809104919434e-01,1.202921748161315918e+00
9.152613282203674316e-01,1.203026652336120605e+00
9.151917099952697754e-01,1.203130364418029785e+00
9.151228666305541992e-01,1.203233003616333008e+00
9.150547385215759277e-01,1.203334331512451172e+00
9.149873852729797363e-01,1.203434586524963379e+00
9.149208068847656250e-01,1.203533649444580078e+00
9.148550033569335938e-01,1.203631520271301270e+00
9.147898554801940918e-01,1.203728437423706055e+00
9.147254824638366699e-01,1.203824162483215332e+00
9.146618247032165527e-01,1.203918814659118652e+00
9.145988821983337402e-01,1.204012274742126465e+00
9.145366549491882324e-01,1.204104781150817871e+00
9.144750833511352539e-01,1.204196214675903320e+00
9.144142270088195801e-01,1.204286694526672363e+00
9.143540859222412109e-01,1.204376101493835449e+00
9.142945408821105957e-01,1.204464435577392578e+00
9.142357110977172852e-01,1.204551696777343750e+00
9.141775369644165039e-01,1.204638123512268066e+00
9.141200184822082520e-01,1.204723477363586426e+00
9.140631556510925293e-01,1.204807877540588379e+00
9.140068888664245605e-01,1.204891324043273926e+00
9.139512777328491211e-01,1.204973816871643066e+00
9.138963222503662109e-01,1.205055356025695801e+00
9.138419032096862793e-01,1.205135941505432129e+00
9.137881398200988770e-01,1.205215692520141602e+00
9.137349724769592285e-01,1.205294489860534668e+00
9.136824607849121094e-01,1.205372333526611328e+00
9.136304855346679688e-01,1.205449342727661133e+00
9.135790467262268066e-01,1.205525517463684082e+00
9.135282635688781738e-01,1.205600738525390625e+00
9.134780168533325195e-01,1.205675125122070312e+00
9.134283065795898438e-01,1.205748677253723145e+00
9.133791923522949219e-01,1.205821394920349121e+00
9.133306145668029785e-01,1.205893278121948242e+00
9.132826328277587891e-01,1.205964446067810059e+00
9.132351279258728027e-01,1.206034660339355469e+00
9.131881594657897949e-01,1.206104159355163574e+00
9.131417274475097656e-01,1.206172823905944824e+00
9.130958318710327148e-01,1.206240653991699219e+00
9.130504727363586426e-01,1.206307768821716309e+00
9.130055904388427734e-01,1.206374168395996094e+00
9.129612445831298828e-01,1.206439733505249023e+00
9.129173159599304199e-01,1.206504583358764648e+00
9.128739833831787109e-01,1.206568717956542969e+00
9.128310680389404297e-01,1.206632018089294434e+00
9.127886891365051270e-01,1.206694722175598145e+00
9.127467274665832520e-01,1.206756591796875000e+00
9.127053022384643555e-01,1.206817865371704102e+00
9.126642942428588867e-01,1.206878423690795898e+00
9.126237630844116211e-01,1.206938266754150391e+00
9.125837087631225586e-01,1.206997394561767578e+00
9.125440716743469238e-01,1.207055926322937012e+00
9.125049114227294922e-01,1.207113742828369141e+00
9.124661684036254883e-01,1.207170844078063965e+00
9.124278426170349121e-01,1.207227349281311035e+00
9.123899936676025391e-01,1.207283258438110352e+00
9.123525619506835938e-01,1.207338452339172363e+00
9.123155474662780762e-01,1.207393050193786621e+00
9.122789502143859863e-01,1.207447052001953125e+00
9.122427701950073242e-01,1.207500338554382324e+00
9.122070074081420898e-01,1.207553148269653320e+00
9.121716022491455078e-01,1.207605242729187012e+00
9.121366739273071289e-01,1.207656860351562500e+00
9.121020436286926270e-01,1.207707762718200684e+00
9.120678901672363281e-01,1.207758188247680664e+00
9.120340943336486816e-01,1.207808017730712891e+00
9.120006561279296875e-01,1.207857251167297363e+00
9.119676351547241211e-01,1.207905888557434082e+00
9.119349122047424316e-01,1.207954049110412598e+00
9.119026064872741699e-01,1.208001613616943359e+00
9.118707180023193359e-01,1.208048582077026367e+00
9.118391275405883789e-01,1.208095073699951172e+00
9.118078947067260742e-01,1.208141088485717773e+00
9.117770195007324219e-01,1.208186507225036621e+00
9.117465019226074219e-01,1.208231449127197266e+00
9.117163419723510742e-01,1.208275794982910156e+00
9.116864800453186035e-01,1.208319783210754395e+00
9.116570353507995605e-01,1.208363175392150879e+00
9.116278290748596191e-01,1.208406090736389160e+00
9.115990400314331055e-01,1.208448529243469238e+00
9.115704894065856934e-01,1.208490371704101562e+00
9.115423560142517090e-01,1.208531856536865234e+00
9.115144610404968262e-01,1.208572864532470703e+00
9.114869236946105957e-01,1.208613395690917969e+00
9.114596843719482422e-01,1.208653450012207031e+00
9.114327430725097656e-01,1.208693027496337891e+00
9.114060997962951660e-01,1.208732128143310547e+00
9.113798141479492188e-01,1.208770871162414551e+00
9.113537669181823730e-01,1.208809137344360352e+00
9.113280177116394043e-01,1.208846926689147949e+00
9.113026261329650879e-01,1.208884358406066895e+00
9.112774729728698730e-01,1.208921313285827637e+00
9.112525582313537598e-01,1.208957791328430176e+00
9.112280011177062988e-01,1.208993911743164062e+00
9.112036824226379395e-01,1.209029674530029297e+00
9.111796617507934570e-01,1.209064960479736328e+00
9.111558794975280762e-01,1.209099769592285156e+00
9.111323952674865723e-01,1.209134340286254883e+00
9.111092090606689453e-01,1.209168434143066406e+00
9.110862016677856445e-01,1.209202170372009277e+00
9.110635519027709961e-01,1.209235429763793945e+00
9.110410809516906738e-01,1.209268450736999512e+00
9.110189080238342285e-01,1.209300994873046875e+00
9.109969735145568848e-01,1.209333181381225586e+00
9.109752774238586426e-01,1.209365010261535645e+00
9.109538197517395020e-01,1.209396481513977051e+00
9.109326004981994629e-01,1.209427595138549805e+00
9.109116792678833008e-01,1.209458351135253906e+00
9.108909368515014648e-01,1.209488749504089355e+00
9.108704328536987305e-01,1.209518790245056152e+00
9.108502268791198730e-01,1.209548592567443848e+00
9.108301997184753418e-01,1.209577918052673340e+00
9.108104109764099121e-01,1.209607005119323730e+00
9.107908010482788086e-01,1.209635734558105469e+00
9.107714891433715820e-01,1.209664106369018555e+00
9.107523560523986816e-01,1.209692120552062988e+00
9.107334017753601074e-01,1.209719896316528320e+00
9.107147455215454102e-01,1.209747314453125000e+00
9.106962084770202637e-01,1.209774374961853027e+00
9.106779694557189941e-01,1.209801197052001953e+00
9.106599092483520508e-01,1.209827661514282227e+00
9.106420278549194336e-01,1.209853887557983398e+00
9.106243252754211426e-01,1.209879755973815918e+00
9.106069207191467285e-01,1.209905385971069336e+00
9.105896353721618652e-01,1.209930658340454102e+00
9.105725884437561035e-01,1.209955692291259766e+00
9.105556607246398926e-01,1.209980368614196777e+00
9.105390310287475586e-01,1.210004925727844238e+00
9.105225205421447754e-01,1.210029006004333496e+00
9.105061888694763184e-01,1.210052967071533203e+00
9.104900956153869629e-01,1.210076570510864258e+00
9.104741215705871582e-01,1.210099935531616211e+00
9.104583859443664551e-01,1.210122942924499512e+00
9.104428291320800781e-01,1.210145831108093262e+00
9.104273915290832520e-01,1.210168361663818359e+00
9.104121923446655273e-01,1.210190653800964355e+00
9.103971123695373535e-01,1.210212707519531250e+00
9.103822708129882812e-01,1.210234522819519043e+00
9.103675484657287598e-01,1.210256099700927734e+00
9.103530049324035645e-01,1.210277318954467773e+00
9.103386402130126953e-01,1.210298418998718262e+00
9.103243947029113770e-01,1.210319280624389648e+00
9.103103280067443848e-01,1.210339784622192383e+00
9.102964401245117188e-01,1.210360169410705566e+00
9.102827310562133789e-01,1.210380315780639648e+00
9.102691411972045898e-01,1.210400223731994629e+00
9.102557301521301270e-01,1.210419774055480957e+00
9.102424383163452148e-01,1.210439205169677734e+00
9.102293252944946289e-01,1.210458517074584961e+00
9.102163314819335938e-01,1.210477471351623535e+00
9.102035164833068848e-01,1.210496187210083008e+00
9.101908206939697266e-01,1.210514783859252930e+00
9.101783037185668945e-01,1.210533142089843750e+00
9.101659059524536133e-01,1.210551261901855469e+00
9.101536273956298828e-01,1.210569143295288086e+00
9.101415276527404785e-01,1.210586905479431152e+00
9.101295471191406250e-01,1.210604429244995117e+00
9.101176857948303223e-01,1.210621714591979980e+00
9.101060032844543457e-01,1.210638880729675293e+00
9.100944399833679199e-01,1.210655808448791504e+00
9.100829958915710449e-01,1.210672616958618164e+00
9.100716710090637207e-01,1.210689067840576172e+00
